accident_id,date,time,am_pm,location,description,autonomous_mode,vehicle_1_make,vehicle_1_model,vehicle_1_year,vehicle_1_moving,vehicle_2_make,vehicle_2_model,vehicle_2_year,vehicle_2_moving,weather_conditions,road_conditions,lighting_conditions,roadway_surface,associated_factors,impact_points,vehicle_damage,Ground_Truth
11,11/14/2021,8:38,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was at a complete stop in response to a red light on southbound 4th Avenue at the intersection with Geary Boulevard. Another vehicle approaching from the rear made contact with the Cruise AV's rear bumper, damaging the rear bumper. The driver of the other vehicle left the scene without exchanging information. There were no injuries and police were not called.",Yes,Chevrolet,Bolt,2020,No,,,,No,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2",roadway_a_1,Not specified,"right_rear_1, left_rear_1, rear_bumper",MINOR,
12,11/21/2021,2:05,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (""Cruise AV""), operating in supervised autonomous mode, was at a complete stop in response to a red light on southbound Cayuga Street at the intersection with Geneva Street. As the Cruise AV entered the intersection on a green light and continued southbound on Cayuga Street, a Honda Civic traveling northbound on Cayuga Street initiated an unprotected left turn in the intersection. The Cruise AV hard braked but, shortly thereafter, the Honda Civic made contact with the Cruise AV, damaging the back left bumper of the Cruise AV. Police were not called to the scene and no injuries were reported.",Yes,Chevrolet,Bolt,2020,Yes,,Honda,2015,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,"left_rear_2, left_rear_passenger_1",MINOR,
13,12/1/2021,5:35,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (""Cruise AV""), operating in manual mode, was traveling eastbound on Hayes Street between Scott Street and Divisadero Street. As the Cruise AV approached the intersection with Divisadero Street, the Cruise AV made contact with the rear bumper of a 2017 Toyota Prius that was stopped at the intersection. This caused damage to the front bumper of the Cruise AV and the rear bumper of the 2017 Toyota Prius. No injuries were reported at the scene by either party. A Cruise AV test driver later sought medical evaluation.",No,Chevrolet,Bolt,2020,Yes,,Toyota,2017,No,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2",Not specified,Not specified,"left_front_corner_3, front_bumper, right_front_corner_3",MINOR,
14,12/1/2021,5:22,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (""Cruise AV""), operating in supervised autonomous mode, was at a complete stop in response to a red light on southbound Laguna Street at the intersection with McAllister Street. Another vehicle approaching from the rear made contact with the Cruise AV's rear bumper, damaging the rear right bumper. The driver of the other vehicle left the scene without exchanging information. There were no injuries and police were not called.",Yes,Chevrolet,Bolt,2020,Yes,,Ford,,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2",Not specified,Not specified,right_rear_1,MINOR,
15,12/11/2021,4:47,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (""Cruise AV""), operating in supervised autonomous mode, was at a complete stop in response to a red light on northbound Larkin Street at the intersection with Turk Street.  The Cruise AV entered the intersection on a green light and continued straight when a cyclist traveling eastbound on Turk Street entered the crosswalk. The Cruise AV braked to the cyclist and, shortly thereafter, another vehicle traveling behind the Cruise AV  made contact with the Cruise AV's rear bumper, damaging the rear left bumper. The driver of the other vehicle left the scene without exchanging information. There were no injuries and police were not called.",Yes,Chevrolet,Bolt,2020,Yes,,Toyota Truck,,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,"left_rear_1, rear_bumper",MINOR,
16,12/26/2021,6:41,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (""Cruise AV""), operating in supervised autonomous mode, was traveling eastbound on Fulton Street in the leftmost lane between 14th Avenue and Park Presidio Boulevard. A Toyota Sienna traveling southbound on 14th Avenue made an unprotected left turn to merge onto eastbound Fulton Street. The Cruise AV braked prior to the Cruise AV operator disengaging the Cruise AV from autonomous mode. The Cruise AV operator continued to brake but, shortly thereafter, the Toyota Sienna made contact with the Cruise AV, damaging the front left fender of the Cruise AV. Police were not called to the scene and no injuries were reported.",Yes,Cruise,AV,2020,Yes,,Toyota Sienna,,Yes,"weather_c_1, weather_c_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_b_1, roadway_b_2",Not specified,"left_front_corner_1, front_driver_side_3",MINOR,
17,1/13/2021,5:32,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (""Cruise AV""), operating in manual mode, was traveling northbound on Grant Avenue between Sutter Street and Post Street.  A skateboard that escaped control of a nearby pedestrian made contact to the Cruise AV at the front passenger side tire. The skateboard caused minimal damage to the front right wheel of the Cruise AV. There were no injuries and the police were not called.   ",Yes,Chevrolet,Bolt,2020,Yes,,,,No,weather_a_1,Not specified,lighting_c_1,roadway_a_1,"other_a_no, other_h_no, other_j",right_front_corner_2,MINOR,
18,1/21/2021,2:38,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was traveling Southwest on Minna Street between 5th Street and Mary Street.  A white Mazda pulled out from a construction area without yielding, onto Minna Street.  Seeing that the Mazda was not going to yield to oncoming traffic, the AVTO disengaged from autonomous mode and unsuccessfully attempted to avoid collision.  The Mazda made contact with the Cruise AV causing damage to the front driver side bumper and fender of the Cruise AV.  There were no injuries and the police were not called.   ",Yes,Chevrolet,Bolt,2020,Yes,,Mazda 5,2013,Yes,"weather_a_1, weather_a_2",Not specified,"lighting_a_1, lighting_a_2",Not specified,Not specified,"left_front_corner_1, left_front_corner_3, front_driver_side_3",MINOR,
19,2/9/2021,2:41,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“Cruise AV”), was in autonomous mode and traveling northbound on De Haro Street between 23rd and 22nd streets. The AV braked in response to a pedestrian in the middle of the intersection on De Haro, running directly towards the AV. The AVTO, concerned for their safety, disengaged from autonomous mode to attempt to move the AV around the pedestrian who was still rapidly heading directly towards the AV in the center of the street. The Cruise AV was then struck by a skateboarder that suddenly entered the crosswalk from the southeast sidewalk, coming downhill from 22nd street. Contact was made by the skateboarder to the Cruise AV. This caused damage to the front quarter panel area and the articulating radar of the Cruise AV. Because the skateboarder appeared injured, 911 was immediately called. The skateboarder left the scene shortly after the incident and before the police arrived. The Cruise AVTOs remained on the scene and gave a statement to the police.",No,Chevrolet,Bolt,2020,Yes,,,,No,weather_a_1,Not specified,lighting_a_1,roadway_a_1,other_a_no,"front_passenger_side_4, right_front_corner_2",MINOR,
20,2/25/2021,7:10,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“Cruise AV”), was in autonomous mode and traveling westbound on McAllister Street near Baker Street. The AV came to a complete stop at the stop sign at McAllister and Baker. With no other vehicles present at the intersection and having the right of way after the stop, the AV started to proceed left onto Baker Street from McAllister. As the AV was making the left turn, a Subaru traveling northbound on Baker Street quickly approached the intersection, failed to stop for the stop sign and struck the front left side of the Cruise AV. The AVTO disengaged from autonomous mode approximately 1.5 seconds before impact. The AVTOs sustained minor injuries and the AV sustained damage to the driver's side bumper and wheel assembly. The police were called but did not respond to the scene.",Yes,Chevrolet,Bolt,2020,Yes,,Subaru,2015,Yes,"weather_a_1, weather_a_2",Not specified,"lighting_c_1, lighting_c_2","roadway_a_1, roadway_a_2",Not specified,"left_front_corner_1, left_front_corner_3, front_driver_side_3",UNK,
21,3/9/2021,8:20,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“Cruise AV”) operating in manual mode was traveling southwest on Folsom Street. When the Cruise AV was turning right onto Fremont Street, it made contact with the curb at the front passenger tire. This caused damage to the front right tire of the Cruise AV. There were no other vehicles or property involved. There were no injuries and the police were not called.",No,Chevrolet,Bolt,2020,Yes,,,,No,weather_c_1,road_conditions_h_1,lighting_c_1,roadway_b_1,Not specified,front_passenger_side_4,MINOR,
22,3/12/2021,4:37,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was facing west and stopped for a red light at the intersection of Duboce and Guerrero Streets. Before the Cruise AV started to proceed for the green light, contact was made to the rear bumper of the Cruise AV by a BMW traveling behind the AV. The contact caused minimal damage to the rear bumper of the Cruise AV. There were no injuries and the police were not called.",Yes,Chevrolet,Bolt,2020,No,,BMW 740,2001,Yes,"weather_a_1, weather_a_2",Not specified,"lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,"right_rear_1, rear_bumper",MINOR,
23,3/27/2021,4:27,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was turning from northbound Stanyan St. to westbound on Parnassus Street. As the Cruise AV was starting to turn, a black GMC Denali behind the Cruise AV attempted to overtake the Cruise AV causing the AVTO to disengage from autonomous mode.  The GMC Denali made contact with the front driver side bumper of the Cruise AV, which caused minor damage to the front bumper. There were no injuries and police were not called. The driver of the GMC Denali did not stop after the incident and could not be contacted.",Yes,Chevrolet,Bolt,2020,Yes,,GMC Denali,,Yes,"weather_a_1, weather_a_2",Not specified,"lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,"left_front_corner_1, front_driver_side_3",MINOR,
24,3/29/2021,4:58,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“Cruise AV”), operating in manual mode, was traveling Westbound on Fulton Street between Pierce and Scott Streets. As the Cruise AV was proceeding straight through the intersection, contact was made to the Cruise AV’s rear bumper by a black Honda Accord. There were no injuries but emergency services were notified via OnStar. The driver of the Honda Accord did not stop after the incident and could not be contacted. ",No,Chevrolet,Bolt,2020,Yes,,Honda Accord,,Yes,"weather_a_1, weather_a_2",Not specified,"lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,"right_rear_1, left_rear_1, rear_bumper",MINOR,
25,3/30/2021,9:23,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (""Cruise AV""), operating in manual mode, was stopped while yielding to make a left turn from Southbound on Folsom Street to Eastbound on 15th Street. Contact was made to the rear center bumper of the Cruise AV by a 2016 Ford Van that was continuing straight on Folsom Street. The contact caused minimal damage to the rear center side bumper of the Cruise AV. The police were not called. The day after the incident, minor injuries were reported by the Cruise AVTO and Passenger. ",No,Chevrolet,Bolt,2020,Yes,,Ford Van,2015,Yes,"weather_a_1, weather_a_2",Not specified,"lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,"right_rear_1, left_rear_1, rear_bumper",MINOR,
26,4/21/2021,12:38,PM,"San Francisco, San Francisco","A Cruise autonomous vehicle (“Cruise AV”), operating in autonomous mode was turning from Southbound on Folsom Street to Westbound on 15th Street. When the Cruise AV stopped to yield for an oncoming vehicle, a Chevrolet Silverado that was traveling behind made contact with the rear bumper of the Cruise AV. This caused damage to the rear bumper of the Cruise AV. At the time of the incident, the driver of the Cruise AV reported a minor injury, but emergency services were not called. ",Yes,Chevrolet,Bolt,2020,Yes,,Silverado,2013,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2",Not specified,Not specified,"left_rear_1, rear_bumper",MINOR,
27,5/17/2021,1:27,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle, operating in autonomous mode, was traveling northbound on Guerrero Street. The Cruise AV was making a right turn onto 24th Street when a 2004 Toyota Sienna that was traveling straight on Guerrero made contact with the rear driver bumper of the Cruise AV. This caused damage to the rear driver bumper and wheel well of the Cruise AV. There were no injuries and police were not called. ",Yes,Chevrolet,Bolt,2020,No,,Toyota Sienna,2016,Yes,"weather_a_1, weather_a_2",Not specified,"lighting_a_1, lighting_a_2",Not specified,Not specified,"left_rear_1, left_rear_2",MINOR,
28,5/31/2021,9:37,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (""Cruise AV""), operating in manual mode, was traveling northbound on 7th Ave between Judah and Kirkham Streets. The Cruise AV made contact with a steel drain cover while traveling over the cover. Contact was made at the undercarriage of the Cruise AV. This caused damage to the undercarriage of the Cruise AV. There were no injuries and police were not called.",No,Chevrolet,Bolt,2020,Yes,,,,No,weather_a_1,Not specified,lighting_a_1,roadway_a_1,Not specified,"left_front_corner_2, right_front_corner_1",UNK,
29,7/10/2021,6:06,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was traveling westbound on Clement Street. As the Cruise  AV was in the intersection with 26th Avenue, a blue Toyota Matrix traveling northbound on 26th Avenue failed to yield and entered the  intersection. The Toyota made contact with the Cruise AV's front left bumper and damaged the bumper wheel and the wheel cover. After  the incident, the passenger in the Cruise AV reported minor shoulder soreness. There were no additional injuries reported and police were  not called. ",Yes,Chevrolet,Bolt,2020,Yes,,Toyota,2006,No,"weather_a_1, weather_a_2",Not specified,"lighting_a_1, lighting_a_2",Not specified,Not specified,"left_front_corner_1, left_front_corner_3, front_driver_side_3",MINOR,
30,7/15/2021,9:38,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was at a complete stop in response to a red light on eastbound McAllister Street at the intersection with Scott Street. Another vehicle approaching from the rear made contact with the Cruise AV's rear  bumper, damaging the rear left bumper. The driver of the other vehicle left the scene without exchanging information. There were no  injuries and police were not called.",Yes,Chevrolet,Bolt,2020,No,,Honda Accord,,Yes,"weather_a_1, weather_a_2",Not specified,"lighting_c_1, lighting_c_2","roadway_a_1, roadway_a_2",Not specified,"left_rear_1, left_rear_2, left_rear_passenger_1",MINOR,
31,7/26/2021,1:15,AM,"San Francisco , San Francisco ","A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was traveling northbound on 5th Street and yielding to oncoming traffic before making a left turn onto westbound Howard Street. The Cruise AV was yielding to an oncoming electric scooterist when the light turned from green to yellow. The driver of the Cruise AV disengaged from autonomous mode to make the left turn and, shortly thereafter, the electric scooterist made contact with the right side of the Cruise AV, damaging the Cruise AV's front and rear passenger doors. The electric scooterist reported soreness and bruising and the San Francisco police were called. It is unknown at this time whether an investigation is being conducted by law enforcement.",No,Chevrolet,Bolt,2020,Yes,,,,Yes,"weather_a_1, weather_a_2",Not specified,"lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",other_a_yes,"right_rear_3, right_rear_passenger_2, right_rear_passenger_4",UNK,
32,8/2/2021,12:58,PM,"San Francisco, San Francisco","A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was traveling westbound on Balboa Street. As the Cruise AV was in the intersection with 24th Avenue, a silver Toyota Tundra traveling northbound on 24th Avenue failed to yield and continued to enter the intersection. The AVTO disengaged from autonomous mode; nevertheless the Toyota made contact with the Cruise AV's left rear panel and damaged the rear left bumper. There were no injuries and police were not called.",No,Chevrolet,Bolt,2020,Yes,,Toyota Tundra,2013,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,"left_rear_2, left_rear_passenger_1, left_rear_passenger_3",MINOR,
33,8/28/2021,21:05,PM,"San Francisco, San Francisco","A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was traveling southbound on Steiner Street between McAllister Street and Fulton Street. The Cruise AV was traveling 24.4 mph upon entering the intersection with Fulton Street on a green light. As the Cruise AV continued through the intersection, a bicyclist traveling eastbound on Fulton Street failed to stop for their red light and entered the intersection. The Cruise AV was disengaged from autonomous mode and the Cruise AV operator braked to a speed of 8.7 mph and, shortly thereafter, the bicyclist made contact with the Cruise AV, damaging the front of the Cruise AV and the bicycle. The cyclist verbally reported they were okay. However, the Cruise AV Operator noticed minor injuries to the cyclict. Police and Emergency Medical Services were called, but the cyclist left the scene before the police or EMS arrived. ",Yes,Chevrolet,Bolt,2020,Yes,,"Bicycle, possible Lyft E Bike",,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_a_1, roadway_a_2",Not specified,"left_front_corner_3, front_bumper, right_front_corner_3, right_front_corner_2",MINOR,
34,8/30/2021,8:40,AM,"San Francisco , San Francisco ","A Cruise autonomous vehicle (""Cruise AV"") in conventional mode was involved in a collision on eastbound Fulton Street between Steiner Street and Pierce Street. While the Cruise AV was parked parallel to the curb on the street, another vehicle attempting to park made contact with the rear bumper of the Cruise AV, damaging the Cruise AV's rear bumper. There were no injuries and police were not called. ",No,Chevrolet,Bolt,2020,No,,Toyota,1993,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_a_1, roadway_a_2",Not specified,"right_rear_1, left_rear_1, rear_bumper",MINOR,
35,10/2/2021,1:56,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was at a complete stop in response a stop sign on northbound Capp Street at the intersection with 22nd Street. An SFPD 2016 Ford Explorer that was in front of the Cruise AV reversed from the intersection of Capp Street and 22nd Street and made contact with the Cruise AV's front bumper, damaging the front bumper. There were no injuries and the officer that struck the Cruise AV filed a police report.",Yes,Chevrolet,Bolt,2020,No,,,,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_a_1, roadway_a_2",Not specified,front_bumper,MINOR,
36,11/15/2021,8:44,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (""Cruise AV""), operating in supervised autonomous mode, was at a complete stop in response to a stop sign on westbound 17th Street at the intersection with Roosevelt Way. Another vehicle approaching from the rear made contact with the Cruise AV's rear bumper. There were no injuries and police were not called. The Cruise AV test operator later mentioned neck pain.",Yes,Chevrolet,Bolt,2020,No,,Toyota,2012,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,"left_rear_1, rear_bumper",NONE,
37,9/25/2021,10:56,AM,"San Francisco, San Francisco","A Cruise autonomous vehicle (""Cruise AV""), operating in manual mode, was traveling northbound on 3rd Street between Marin Street and Cesar Chavez Street. As the Cruise AV was stopped behind another vehicle, a 2020 Chevy Bolt behind the Cruise AV made contact with the Cruise AV, damaging the rear center bumper of the Cruise AV. The Cruise AV operator reported injuries. Police were not called to the scene.",No,Chevrolet,Bolt,2020,No,,Chevrolet Bolt,2020,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2",Not specified,Not specified,rear_bumper,MINOR,
38,4/14/2021,9:38,AM,"SAN FRANCISCO, SAN FRANCISCO","On April 14, 2021 at 9:38am, AV104 driving in autonomous mode in San Francisco, California, experienced longitudinal contact from a Toyota sedan at the intersection of First and Harrison Streets. The AV was moving at 9mph in the right lane and slowing to begin to execute a right turn, when the Toyota sedan “side-swiped” the left front lidar unit on the AV while overtaking at a greater speed from the left adjacent lane.  The AV vehicle sustained moderate property damage to the lidar unit, mount, and front fender/bumper.  The driver of the Toyota did not stop*.  There are no known injuries, and Lyft does not know what (if any) damage was sustained by the Toyota. *Note: this lane merges onto a freeway ramp and may not have provided a place to safely pull over.",Yes,FORD,FUSION,2019,Yes,,Toyota,,Yes,"weather_a_1, weather_a_2","road_conditions_e_2, road_conditions_g_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",other_e,left_front_corner_1,UNK,
39,10/28/2021,10:50,AM,"Fremont, Alameda","On October 28, 2021, after turning right onto Fremont Blvd from Cushing Pkwy, the Pony.ai Autonomous Vehicle (""Pony.ai AV"") performed a left lane change maneuver in autonomous mode. While performing the lane change, the Pony.ai AV came into contact with a center divider on Fremont Blvd. and the traffic sign that was posted on the divider.  The Pony.ai AV suffered moderate damage to the front of the vehicle and the undercarriage. There were no injuries and no other vehicles involved.  Fremont Police Department were called to report the incident and the damaged street sign.  Pony.ai has subsequently worked with local authorities to resolve all issues related to the damaged sign.",Yes,Hyundai,Kona/EV,2021,Yes,,,,No,weather_a_1,road_conditions_h_1,lighting_a_1,roadway_a_1,Not specified,"left_front_corner_3, front_bumper, right_front_corner_3, left_front_corner_2, right_front_corner_1",UNK,
