accident_id,date,time,am_pm,location,description,autonomous_mode,vehicle_1_make,vehicle_1_model,vehicle_1_year,vehicle_1_moving,vehicle_2_make,vehicle_2_model,vehicle_2_year,vehicle_2_moving,weather_conditions,road_conditions,lighting_conditions,roadway_surface,associated_factors,impact_points,vehicle_damage,Ground_Truth
14,6/3/2024,4:54,AM,"Marina Del Rey, Los Angeles","On June 3, 2024 at 4:54 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in Marina Del Rey, California was in a collision involving a passenger car on Admiralty Way at Bali Way. The Waymo AV was making a left turn from the rightmost dedicated left turn lane on Admiralty Way into lane two of three lanes in the eastbound direction of Bali Way. A passenger car was also making a left turn from the leftmost dedicated left turn lane (leftmost lane). The passenger car had made the turn onto Bali Way and was partially in the number 1 lane (leftmost) and partially in the number 2 lane (middle) when the front passenger side of the passenger car made contact with the rear driver side of the Waymo AV, which was traveling in the number 2 lane (middle). At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). Both vehicles sustained damage.",Yes,Jaguar,I-Pace,2021,Yes,,Chevrolet Malibu LT,2022,Yes,"weather_b_1, weather_b_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,left_rear_2,MINOR,
15,5/30/2024,4:02,AM,"Foster City, San Mateo","A Zoox vehicle (Vehicle 1) in autonomy was traveling westbound on Chess Drive in Foster City when a parallel-parked passenger car (Vehicle 2) abruptly entered the Zoox vehicle’s travel lane from a parking space in the right parking lane without yielding or activating a turn signal. Vehicle 2 made contact with the right front side and wheel of the Zoox vehicle, and the Zoox vehicle made contact with the driver side door and left front tire/wheel well of the passenger car. Both vehicles sustained moderate damage and the Zoox vehicle was towed from the scene. There were no injuries and police were not called.",Yes,Zoox,sedan,2023,Yes,,Nissan ,2012,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,"right_front_corner_3, right_front_corner_1, right_front_corner_2",UNK,
16,5/22/2024,3:45,AM,"Palo Alto, Santa Clara","On Wednesday, May 22, 2024 at approximately 3:45pm PST, a Nuro Prius operating in manual mode bumped a pedestrian at the
intersection of Webster Street and Middlefield Road in Palo Alto, California.

The Nuro Prius was in autonomous mode when it approached the intersection and came to a stop at the stop bar on Webster Street. It is
a two-way stop with the traffic on Middlefield having right of way. The Nuro Prius nudged forward due to an occlusion.The Nuro operator judged the nudging to be too far and disengaged autonomous mode to reverse in manual. When reversing, the operator bumped a pedestrian crossing the street behind the Nuro Prius. 

The pedestrian was not injured and after speaking with the operator, left the scene without providing additional information. There was no damage to the vehicle and law enforcement was not involved.",No,Toyota,Prius,2022,Yes,,,,No,weather_a_1,Not specified,lighting_a_1,Not specified,other_k,Not specified,NONE,
17,5/20/2024,3:02,AM,"San Francisco, San Francisco","On May 20, 2024 at 3:02 AM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a passenger car on 14th Street at Folsom Street. The Waymo AV was traveling east on 14th Street and came to a stop at a red light at the intersection with Folsom Street to prepare for a left turn. When the light turned green, the Waymo AV proceeded into the intersection. As it did so, a passenger car traveling southbound on Folsom Street at a high rate of speed entered the intersection against a red traffic light. The front of the passenger car made contact with the driver’s side of the Waymo AV. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage, and the passengers of the passenger car left the scene on foot. ",Yes,Jaguar,I-Pace,2021,No,,Toyota,,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_a_1, roadway_a_2",Not specified,"left_rear_passenger_3, front_driver_side_1",UNK,
18,5/17/2024,11:45,AM,"San Francisco, San Francisco","On May 17, 2024 at 11:45 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car on Interstate 280 North between exits 54B and 55. The Waymo AV was traveling north on Interstate 280 in the rightmost lane in autonomous mode with a test driver seated in the driver's seated position when it approached a slow-moving heavy truck equipped with a truck-mounted light matrix displaying a yellow arrow indicating that traffic should merge to the left. The Waymo AV slowed down behind the heavy truck and the test driver transitioned the Waymo AV to manual mode. The test driver stopped the Waymo AV and activated the left turn signal. Several vehicles passed the Waymo AV on the left side before the test driver manually initiated a left lane change, and the front passenger side of a passenger car which was passing the Waymo AV on the left made contact with the front driver side of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode.  Both vehicles sustained damage.",No,Jaguar,I-Pace,2024,Yes,,Hyundai Sonata,2022,Yes,"weather_b_1, weather_b_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,left_front_corner_1,MINOR,
19,5/15/2024,3:25,AM,"Fremont, Alameda","On May 15, 2024, the front right bumper of a Pony.ai autonomous vehicle (AV) scraped against a flexible plastic traffic pylon on Auto Mall Pkwy near the intersection of Auto Mall Pkwy & Grimmer Blvd, in Fremont, CA. The vehicle was operating in supervised autonomous (“Drivered”)  mode. There were no other vehicles, pedestrians, or road users involved.Following the incident, the safety operator pulled over in a safe location and confirmed there was only minor cosmetic damage to the front bumper of the AV. The safety operator then promptly drove the vehicle, in manual mode, to Pony.ai’s Fremont office. There were no injuries, and the police were not called.",Yes,Lincoln,MKZ,2019,Yes,,,,No,weather_a_1,road_conditions_h_1,lighting_a_1,roadway_a_1,Not specified,right_front_corner_2,MINOR,
20,5/13/2024,12:58,PM,"Los Angeles, Los Angeles","On May 13, 2024 at 12:58 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in Los Angeles, CA was in a collision involving a passenger car on eastbound Interstate 10 between Exit 2 and Exit 3A. The Waymo AV was traveling with a test driver present behind a box truck in the number 3 lane of eastbound Interstate 10 near the Bundy Drive overpass when a passenger car traveling at a high rate of speed approached the Waymo AV from behind. The passenger car partially entered the number 2 lane as the front right corner of the passenger car made contact with the rear left corner of the Waymo AV. The passenger car then made contact with the center median and came to a stop. The Waymo AV was transitioned into manual mode, and the test driver stopped the Waymo AV to the right-hand shoulder. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). Both vehicles sustained damage.",Yes,Jaguar,I-Pace,2021,Yes,,,,Yes,"weather_b_1, weather_b_2","road_conditions_h_1, road_conditions_h_2","lighting_d_1, lighting_d_2","roadway_a_1, roadway_a_2",Not specified,"left_rear_1, left_rear_2",UNK,
21,5/8/2024,11:16,AM,"San Francisco, San Francisco","On May 8, 2024 at 11:16 PM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in San Francisco, California was in a collision involving a wild animal (raccoon) on Interstate 280 Junipero Serra Freeway between exits 49B and 51. The Waymo AV was traveling eastbound on Interstate 280 in autonomous mode when a raccoon ran into the roadway from the left side of the highway in front of the Waymo AV. The Waymo AV test driver transitioned to manual mode shortly before the front driver’s side of the Waymo AV made contact with the raccoon. At the time of the impact, the Waymo AV’s Level 4 ADS was not engaged and a test driver was operating the Waymo AV in manual mode. The Waymo AV sustained damage.",No,Jaguar,I-Pace,2024,Yes,,,,No,weather_a_1,road_conditions_h_1,lighting_d_1,roadway_a_1,Not specified,"left_front_corner_1, left_front_corner_3",MINOR,
22,4/28/2024,12:51,PM,"San Francisco, San Francisco","A Zoox vehicle (Vehicle 1) in autonomy was stopped at a red light in the right travel lane on southbound 11th Street at the intersection with Bryant/Division Streets in San Francisco. After the light turned green, the Zoox vehicle entered the intersection and began bearing right onto southbound Bryant Street when a lane-splitting motorcycle (Vehicle 2) operator maneuvered around other traffic and quickly came up on the rear of the Zoox vehicle, traversing laterally in lane from the left to the right side of the Zoox vehicle. The Zoox vehicle braked and then the Zoox vehicle operator disengaged. The motorcycle then struck the passenger’s side of the rear bumper and quarter panel on the Zoox vehicle and the motorcycle and its operator fell to the ground. The motorcycle operator appeared to have scraped his hands, but declined medical attention. The motorcycle sustained minor damage to the fairing, left side mirror, and front and rear left turn signal lens and the Zoox vehicle did not sustain damage. The motorcycle operator left the scene without exchanging their information. The police were not called.",No,Toyota,Highlander,2019,Yes,,Honda PCX,,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,"right_rear_1, right_rear_3",MINOR,
23,4/23/2024,3:05,AM,"Fremont, Alameda","On April 23, 2024, a Pony.ai autonomous vehicle (AV) scraped a curb on Lakeview Blvd near the intersection of Lakeview Blvd & Gateway Blvd in Fremont, CA. The vehicle was operating in supervised autonomous (""Drivered"") mode. There were no other vehicles, pedestrians, or road users involved.Following the incident, the safety operator promptly drove the AV, in manual mode, to Pony.ai's Fremont office. There were no injuriesreported, and the police were not called.",Yes,Lincoln,MKZ,2019,Yes,,,,No,weather_a_1,road_conditions_h_1,lighting_a_1,roadway_a_1,Not specified,Not specified,NONE,
24,4/17/2024,5:20,AM,"San Francisco, San Francisco","A Zoox vehicle, operating in manual mode, was traveling north on Folsom Street, preparing to turn left onto 21st Street in San Francisco when the front wheel on the driver's side rode over a traffic island to the left side of the Zoox vehicle. The sidewall of the tire was damaged as a result of the interaction. There were no reported injuries and the police were not called.",No,Toyota,Highlander,2019,Yes,,,,No,weather_a_1,road_conditions_h_1,lighting_a_1,roadway_a_1,Not specified,front_driver_side_3,MINOR,
25,4/13/2024,3:35,AM,"San Francisco, San Francisco","On April 13, 2024 at 3:35 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a pickup truck on Bayshore Boulevard near Boutwell Street. The Waymo AV was traveling southbound on Bayshore Boulevard in the far right lane when it passed a pickup truck that was stopped in the bike lane. As the Waymo passed the pickup truck, the driver of the pickup truck opened the driver’s side door and the door made contact with the Waymo’s passenger side wing mirror and rear right sensor housing.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver's seating position). The Waymo AV sustained damage.",Yes,Jaguar,I-Pace,2021,Yes,,Ford F-350 Super Duty Lariat,2003,No,"weather_b_1, weather_b_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2",Not specified,Not specified,"front_passenger_side_4, right_rear_3",UNK,
26,4/11/2024,10:14,AM,"San Francisco, San Francisco","On April 11, 2024 at 10:14 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a heavy truck on Vallejo Street at Stockton Street. The Waymo AV was traveling westbound on Vallejo Street and stopped at a red light. A heavy truck was turning left onto Vallejo Street from Stockton Street. As the heavy truck approached, the Waymo AV started to slowly reverse to make more space. The test driver transitioned to manual, and the driver’s side of the heavy truck and the driver's side front corner of the Waymo AV made contact. The heavy truck left the scene. At the time of the impact, the Waymo AV was not engaged and a test driver was operating the Waymo AV in manual mode. The Waymo AV sustained damage.",No,Jaguar,I-Pace,2021,No,,Isuzu Truck,,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,left_front_corner_1,MINOR,
27,4/2/2024,7:25,AM,"Foster City, San Mateo","A Zoox vehicle in autonomy, traveling westbound on 3rd Avenue toward Foster City Blvd in Foster City drove over an in-lane utility valve box with a displaced valve cover. The Zoox vehicle sustained damage to the undercarriage. There were no reported injuries and police were not called.",Yes,Zoox,AV,2023,Yes,,,,No,weather_a_1,road_conditions_b_1,lighting_b_1,Not specified,Not specified,"right_front_corner_1, front_driver_side_4, front_passenger_side_3, left_front_corner_2",UNK,
28,3/30/2024,1:33,AM,"San Francisco, San Francisco","On March 30, 2024 at 1:33 AM PT, a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving an SUV on Jerrold Avenue at Barneveld Avenue.The Waymo AV was stopped at a stop sign on Jerrold Avenue and yielding to a pickup truck that was in the intersection making a left turnfrom Barneveld Avenue onto Jerrold Avenue when the front right corner of the SUV, which was traveling behind the Waymo AV, madecontact with the rear left corner of the Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomousmode. Both vehicles sustained damage.",Yes,Jaguar,I-Pace,2021,No,,Nissan Murano S / SE / SL,2007,Yes,"weather_c_1, weather_c_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_b_1, roadway_b_2",Not specified,left_rear_1,MINOR,
29,3/28/2024,7:30,AM,"Los Angeles, Los Angeles","On March 28, 2024 at 7:30 AM PT a Waymo Autonomous Vehicle (“Waymo AV”) operating in Los Angeles, California was in a collision involving a passenger car on Louisiana Avenue at Kerwood Avenue. While making a tight left turn from southbound Kerwood Avenue onto northeastbound Louisiana Avenue, the Waymo AV made contact with the driver side of a parked passenger car. At the time of the impact, the Waymo AV’s Level 4 ADS was engaged in autonomous mode, and a test driver was present (in the driver’s seating position). Both vehicles sustained damage.",Yes,Jaguar,I-Pace,2021,Yes,,BMW 430i,,No,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,right_front_corner_2,MINOR,
30,3/22/2024,8:00,AM,"San Francisco, San Francisco","On March 22, 2024 at 08:00 PM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car near the 200 block of Church Street before Market Street. The Waymo AV was traveling north on Church Street towards the intersection with Market Street when it came to a stop behind an SUV which was stopped in-lane to load passengers. Another SUV approached from behind the Waymo AV and came to a stop. The lead SUV finished loading passengers and proceeded forward to the stop line at Market Street, and the Waymo AV proceeded forward as well. The trailing SUV proceeded forward and the front of the SUV made contact with the rear of the Waymo AV.  At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. The Waymo AV sustained damage and the SUV left the scene.",Yes,Jaguar,I-Pace,2024,No,,Audi Q5 3.2 Quattro Premium Plus,2012,Yes,"weather_c_1, weather_c_2","road_conditions_h_1, road_conditions_h_2","lighting_c_1, lighting_c_2","roadway_b_1, roadway_b_2",Not specified,"right_rear_1, rear_bumper",MINOR,
31,3/19/2024,7:18,AM,"San Francisco, San Francisco","On March 19, 2024 at 7:18 AM PT a Waymo Autonomous Vehicle (""Waymo AV"") operating in San Francisco, California was in a collision involving a passenger car on Division Street at 9th Street. The Waymo AV was traveling west on Division Street after having stopped at the stop sign at Vermont Street and was approaching the intersection with 9th Street when a passenger car approached from behind the Waymo AV, ran the stop sign at Vermont Street, and made contact with the rear of the Waymo AV. The front of the passenger car made continuous contact with the rear of the Waymo AV while both vehicles were still in motion for a short period of time before the passenger car slowed down and separated from the AV. The Waymo AV proceeded through the intersection with 9th Street and came to a stop on Division Street west of the intersection with 9th Street. The passenger car then accelerated and the front right corner of the passenger car made contact with the rear left corner of the stationary Waymo AV. At the time of the impact, the Waymo AV's Level 4 ADS was engaged in autonomous mode. Both vehicles sustained damage.",Yes,Jaguar,I-Pace,2024,Yes,,Tesla Model 3,2020,Yes,"weather_b_1, weather_b_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",Not specified,"right_rear_1, left_rear_1, rear_bumper",MINOR,
32,3/18/2024,4:46,AM,"San Mateo, San Mateo","A Zoox vehicle (Vehicle 1), operating in manual mode, was traveling northeast on 3rd Avenue toward Norfolk St in San Mateo. The Zoox vehicle was stopped in the right through lane behind traffic for a red traffic signal, when it was rear ended by a passenger car (Vehicle 2) that was traveling directly behind. There was no visible damage to either vehicle and the police were not called. The safety operator of the Zoox vehicle reported back pain a few days after the collision. Zoox vehicle camera footage shows that the driver of the passenger car may not have been looking ahead at the roadway prior to and at the time of contact.",No,Toyota,Highlander,2017,No,,Honda Fit,2013,Yes,"weather_a_1, weather_a_2","road_conditions_h_1, road_conditions_h_2","lighting_a_1, lighting_a_2","roadway_a_1, roadway_a_2",other_c,Not specified,NONE,
